Title,Genres,Runtime,Tomato %,Audience %
Goodfellas,"['Crime', 'Drama']",0 days 02:26:00,96,97
The Freshman,['Comedy'],0 days 01:42:00,94,61
Miller's Crossing,"['Crime', 'Drama']",0 days 01:54:00,92,90
The Witches,"['Fantasy', 'Kids & family']",0 days 01:31:00,93,70
Arachnophobia,"['Mystery & thriller', 'Comedy']",0 days 01:49:00,93,54
Metropolitan,"['Comedy', 'Drama']",0 days 01:38:00,93,85
Reversal of Fortune,['Drama'],0 days 02:00:00,92,78
Misery,"['Mystery & thriller', 'Horror']",0 days 01:47:00,90,89
Edward Scissorhands,"['Fantasy', 'Comedy']",0 days 01:45:00,90,91
The Grifters,"['Crime', 'Drama']",0 days 01:53:00,91,70
The Hunt for Red October,"['Mystery & thriller', 'Adventure']",0 days 02:17:00,88,88
La Femme Nikita,"['Action', 'Mystery & thriller']",0 days 01:57:00,89,84
Presumed Innocent,['Mystery & thriller'],0 days 02:08:00,87,67
"The Godfather, Coda: The Death of Michael Corleone",,,86,75
Tremors,['Horror'],0 days 01:36:00,86,75
Dances With Wolves,"['History', 'Drama']",0 days 03:00:00,83,87
Total Recall,"['Sci-fi', 'Action']",0 days 01:49:00,82,78
Darkman,"['Mystery & thriller', 'Action']",0 days 01:35:00,83,59
Back to the Future Part III,"['Fantasy', 'Adventure']",0 days 01:58:00,80,78
Ghost,"['Fantasy', 'Romance']",0 days 02:07:00,75,80
Jacob's Ladder,"['Mystery & thriller', 'Horror']",0 days 01:53:00,73,84
Cry Baby,"['Comedy', 'Musical']",0 days 01:25:00,73,77
Gremlins 2: The New Batch,"['Comedy', 'Fantasy']",0 days 01:46:00,71,57
Die Hard 2,"['Action', 'Mystery & thriller']",0 days 02:04:00,69,70
"The Godfather, Part III","['Crime', 'Drama']",0 days 02:41:00,67,62
Home Alone,"['Kids & family', 'Comedy']",0 days 01:42:00,67,80
Wild at Heart,['Drama'],0 days 02:05:00,67,81
Pretty Woman,"['Comedy', 'Romance']",0 days 01:54:00,65,68
Dick Tracy,"['Crime', 'Drama']",0 days 01:50:00,64,53
The Exorcist III,['Horror'],0 days 01:50:00,59,56
Flatliners,['Sci-fi'],0 days 01:51:00,47,59
Teenage Mutant Ninja Turtles,"['Kids & family', 'Fantasy']",0 days 01:33:00,41,81
Days of Thunder,['Action'],0 days 01:47:00,38,60
The Bonfire of the Vanities,"['Comedy', 'Drama']",0 days 02:06:00,16,26
