Title,Runtime,Tomato %,Audience %,Drama,History,Mystery & thriller,Horror,Adventure,Kids & family,War,Comedy,Fantasy,Romance,Musical,Western,Documentary,Sci-fi,Lgbtq+,Biography,Action,Crime,Music
One Night in Miami,0 days 01:50:00,98,78.0,True,,,,,,,,,,,,,,,,,,
Portrait of a Lady on Fire,0 days 02:01:00,98,92.0,True,True,,,,,,,,,,,,,,,,,
Minari,0 days 01:55:00,98,87.0,True,,,,,,,,,,,,,,,,,,
The Invisible Man,0 days 02:04:00,92,88.0,,,True,True,,,,,,,,,,,,,,,
Soul,0 days 01:40:00,95,88.0,,,,,True,True,,,,,,,,,,,,,
Ma Rainey's Black Bottom,0 days 01:34:00,97,72.0,True,True,,,,,,,,,,,,,,,,,
1917,0 days 01:59:00,88,88.0,,True,,,,,True,,,,,,,,,,,,
Never Rarely Sometimes Always,0 days 01:41:00,99,53.0,True,,,,,,,,,,,,,,,,,,
Sound of Metal,0 days 02:00:00,97,90.0,True,,,,,,,,,,,,,,,,,,
Promising Young Woman,0 days 01:53:00,90,87.0,,,True,,,,,True,,,,,,,,,,,
Wolfwalkers,0 days 01:43:00,99,98.0,,,,,True,,,,True,,,,,,,,,,
Palm Springs,0 days 01:30:00,95,88.0,,,,,,,,True,,True,,,,,,,,,
Hamilton,0 days 02:40:00,98,89.0,,,,,,,,,,,True,,,,,,,,
Da 5 Bloods,0 days 02:35:00,92,53.0,True,,,,,,True,,,,,,,,,,,,
First Cow,0 days 02:02:00,96,64.0,True,,,,,,,,,,,True,,,,,,,
Miss Juneteenth,0 days 01:43:00,99,57.0,True,,,,,,,,,,,,,,,,,,
His House,0 days 01:33:00,100,74.0,,,True,True,,,,,,,,,,,,,,,
Collective,0 days 01:49:00,99,89.0,,,,,,,,,,,,,True,,,,,,
Crip Camp,0 days 01:47:00,100,91.0,,,,,,,,,,,,,True,,,,,,
76 Days,0 days 01:33:00,100,83.0,,,,,,,,,,,,,True,,,,,,
The Trial of the Chicago 7,0 days 02:09:00,89,90.0,True,True,,,,,,,,,,,,,,,,,
Host,0 days 00:57:00,100,72.0,,,True,True,,,,,,,,,,,,,,,
David Byrne's American Utopia,0 days 02:15:00,98,86.0,,,,,,,,,,,True,,,,,,,,
Dick Johnson Is Dead,0 days 01:29:00,100,77.0,,,,,,,,,,,,,True,,,,,,
Possessor: Uncut,0 days 01:42:00,94,59.0,,,True,,,,,,,,,,,True,,,,,
The Forty-Year-Old Version,0 days 02:03:00,98,72.0,True,,,,,,,True,,,,,,,,,,,
Time,0 days 01:21:00,98,50.0,,,,,,,,,,,,,True,,,,,,
Totally Under Control,0 days 02:03:00,99,84.0,,,,,,,,,,,,,True,,,,,,
Saint Frances,0 days 01:46:00,99,75.0,True,,,,,,,True,,,,,,,,,,,
Blow the Man Down,0 days 01:30:00,98,73.0,True,,,,,,,True,,,,,,,,,,,
Onward,0 days 01:43:00,88,95.0,,,,,True,,,,True,,,,,,,,,,
The Personal History of David Copperfield,0 days 01:59:00,92,54.0,True,,,,,,,True,,,,,,,,,,,
The Vast of Night,0 days 01:30:00,93,66.0,,,True,,,,,,True,,,,,,,,,,
Welcome to Chechnya,0 days 01:47:00,100,87.0,,,,,,,,,,,,,True,,True,,,,
All In: The Fight for Democracy,0 days 01:42:00,100,69.0,,,,,,,,,,,,,True,,,,,,
The Assistant,0 days 01:27:00,92,25.0,True,,,,,,,,,,,,,,,,,,
Mucho Mucho Amor: The Legend of Walter Mercado,0 days 01:36:00,100,92.0,,,,,,,,,,,,,True,,,,,,
The Truffle Hunters,0 days 01:24:00,97,77.0,,,,,,,,,,,,,True,,,,,,
Relic,0 days 01:29:00,92,51.0,True,,,True,,,,,,,,,,,,,,,
Athlete A,0 days 01:43:00,100,93.0,,,,,,,,,,,,,True,,,,,,
Driveways,0 days 01:23:00,99,83.0,True,,,,,,,,,,,,,,,,,,
